Year,Neighbourhood,Total,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +
2017,Woburn,"1,140",846,"1,017","1,174","1,280"
2017,Woodbine Corridor/Greenwood-Coxwell,"1,007",**,**,**,**
2017,Woodbine-Lumsden,"1,114",**,"1,008",**,**
2017,Wychwood,"1,168",**,"1,160",**,**
2017,Yonge-Eglinton,"1,416","1,076","1,316","1,840",**
2017,Yonge-St. Clair,"1,474","1,110","1,358","1,735",**
2017,Yorkdale-Glen Park,"1,137",**,"1,033","1,233","1,235"
2017,Toronto,"1,308","1,013","1,194","1,403","1,589"
2016,Agincourt/Malvern,"1,239",**,"1,107","1,251","1,361"
2016,Ajax/Pickering,"1,270",**,946,"1,212","1,302"
2016,Alderwood,"1,245",**,"1,036","1,264",**
2016,Aurora,"1,286",**,"1,076","1,270",**
2016,Banbury-Don Mills/York Mills,"1,218",881,"1,097","1,253","1,565"
2016,Bathurst Manor,"1,237",797,"1,101","1,259","1,435"
2016,Bay Street Corridor,"2,027","1,450","1,728","2,885",**
2016,Bayview Village,"1,499",**,"1,325","1,571",**
2016,Bayview Woods-Steeles/Hillcrest Village,"1,614",**,"1,401","1,662","1,709"
2016,Bedford Park-Nortown,"1,271",889,"1,086","1,417","1,988"
2016,Beechborough-Greenbrook,"1,001",776,897,"1,109",**
2016,Bendale,"1,136",866,"1,028","1,119","1,261"
2016,Birchcliffe-Cliffside,"1,237",877,"1,121","1,380",**
2016,Black Creek,"1,145",918,981,"1,142","1,367"
2016,Bradford/West Gwillimbury/New Tecumseth,"1,023",827,920,"1,089","1,338"
2016,Brampton (East),"1,280",835,"1,170","1,314","1,405"
2016,Brampton (West),"1,143",771,"1,024","1,184","1,404"
2016,Briar Hill-Belgravia,"1,121",742,"1,020","1,248","1,428"
2016,Broadview North,"1,137",889,"1,099","1,326",**
2016,Bronte,"1,408",**,"1,253","1,485","1,784"
2016,Brookhaven-Amesbury,"1,092",748,945,"1,122","1,402"
2016,Cabbagetown-South St. James Town,"1,298",953,"1,252","1,778",**
2016,Caledon,**,**,**,**,**
2016,Caledonia-Fairbank,"1,001",769,927,"1,108",**
2016,Casa Loma,"1,763","1,029","1,382","2,106","3,240"
2016,Churchill Meadows/Erin Mills,"1,301",855,991,"1,203","1,600"
2016,Church-Yonge Corridor,"1,349","1,073","1,362","1,780",**
2016,Clairlea-Birchmount,"1,020",889,948,"1,153",**
2016,Clanton Park,"1,205",891,"1,112","1,321",**
2016,Clarkson/Lorne Park,"1,193",894,"1,089","1,243","1,366"
2016,Cliffcrest,"1,101",837,"1,008","1,131","1,363"
2016,Cooksville,"1,152",898,"1,051","1,229","1,241"
2016,Crescent Town,"1,069",796,979,"1,195","1,480"
2016,Danforth Village-East York,"1,037",761,990,"1,147",**
2016,Don Valley Village/Pleasant View,"1,288",848,"1,123","1,299","1,446"
2016,Dorset Park,"1,005",770,910,"1,044","1,326"
2016,Dovercourt/Davenport/Junction,**,**,**,"1,402",**
2016,Downsview,"1,056",760,944,"1,109","1,269"
2016,Dufferin Grove/Little Portugal,"1,296",866,"1,322","1,651",**
2016,East End-Danforth,"1,100",892,"1,053","1,194",**
2016,East Gwillimbury/Newmarket,"1,094",738,"1,069","1,148",**
2016,Edenbridge-Humber Valley,"1,217",**,"1,044","1,235","1,640"
2016,Eglinton East,"1,087",892,939,"1,108","1,265"
2016,Elms-Old Rexdale,"1,162",**,**,"1,168",**
2016,Englemount-Lawrence,"1,161",824,"1,001","1,193","1,579"
2016,Eringate-Centennial-West Deane,"1,189",**,**,"1,195",**
2016,Etobicoke West Mall,"1,286","1,036","1,076","1,302","1,500"
2016,Flemingdon Park,"1,155",**,"1,014","1,204","1,431"
2016,Forest Hill North,"1,327",913,"1,146","1,461","2,049"
2016,Forest Hill South,"1,253",930,"1,185","1,442",**
2016,Georgina,952,**,805,959,**
2016,Guildwood,**,**,**,**,**
2016,Henry Farm,"1,396",**,"1,248","1,422","1,615"
2016,High Park North/Junction,"1,465","1,043","1,367","1,741","2,253"
2016,High Park-Swansea,"1,172",700,"1,130","1,333",**
2016,Humber Heights-Westmount,"1,301",**,"1,126","1,313","1,482"
2016,Humewood-Cedarvale,"1,386",852,"1,246","1,641",**
2016,Ionview,"1,069",843,988,"1,131","1,386"
2016,Islington/City Centre North,"1,337","1,139","1,248","1,407","1,522"
2016,Islington/City Centre South,"1,208",991,**,"1,295",**
2016,Keelesdale-Eglinton West,914,**,892,982,**
2016,Kennedy Park,"1,031",**,932,"1,095","1,156"
2016,Kensington-Chinatown,**,**,**,**,**
2016,Kingsview Village-The Westway,"1,278","1,142","1,095","1,302","1,489"
2016,Kingsway South,**,**,"1,139",**,**
2016,Lambton Baby Point,**,739,978,**,**
2016,L'Amoreaux/Steeles/Milliken,"1,185",**,"1,060","1,244","1,422"
2016,Lansing-Westgate,"1,358",792,"1,237","1,435","1,578"
2016,Lawrence Park North,"1,417","1,015","1,248","1,683",**
2016,Lawrence Park South,"1,469",984,"1,261","1,752",**
2016,Leaside-Bennington,"1,283",909,"1,138","1,537",**
2016,Little Italy/Trinity-Bellwoods,"1,339",787,956,"1,479",**
2016,Long Branch,945,747,916,"1,016",**
2016,Malton,"1,105",**,871,"1,150","1,227"
2016,Maple Leaf,"1,129",710,"1,020","1,192",**
2016,Markham,"1,228",**,"1,149","1,271","1,362"
2016,Meadowvale,"1,418",**,"1,281","1,448","1,548"
2016,Milton/Halton Hills,"1,123",710,"1,016","1,184","1,528"
2016,Mimico,"1,041",814,982,"1,240","1,564"
2016,Mississauga Centre/Streetsville,"1,305",850,"1,158","1,322","1,579"
2016,Moore Park,"1,657","1,096","1,458","1,953",**
2016,Morningside,"1,043",**,948,"1,067","1,279"
2016,Moss Park/Regent Park,"1,146",827,"1,111","1,524","1,885"
2016,Mount Dennis,"1,078",808,999,"1,125",**
2016,Mount Olive-Silverstone-Jamestown/Thistletown,"1,202",**,"1,015","1,180","1,327"
2016,Mount Pleasant East,"1,348",950,"1,272","1,601","2,048"
2016,Mount Pleasant West,"1,358","1,056","1,323","1,650","2,210"
2016,New Toronto,950,**,886,"1,095",**
2016,North St. James Town,"1,174",943,"1,129","1,330","1,587"
2016,Oakridge,**,**,**,**,**
2016,Oakville (excl. Bronte),"1,363",981,"1,202","1,393","1,626"
2016,Oakwood-Vaughan,"1,002",779,973,"1,160",**
2016,O'Connor-Parkview,"1,051",749,945,"1,149","1,391"
2016,Old East York,"1,054",716,981,"1,227",**
2016,Orangeville/Mono,"1,041",**,967,"1,097","1,110"
2016,Parkwoods-Donalda,"1,262",853,"1,071","1,254","1,479"
2016,Playter Estates-Danforth,"1,189",880,"1,150","1,505",**
2016,Port Credit,"1,160",910,"1,059","1,219","1,515"
2016,Princess-Rosethorn,**,**,**,**,**
2016,Rexdale-Kipling,"1,035",678,888,"1,029","1,163"
2016,Richmond Hill/Vaughan/King,"1,243",909,"1,134","1,322","1,488"
2016,Riverdale,"1,167",972,"1,164",**,**
2016,Rockcliffe-Smythe,"1,034",764,918,"1,118","1,222"
2016,Roncesvalles,"1,202",**,"1,156",**,**
2016,Rosedale,"1,700",**,"1,394","1,859",**
2016,Rouge,"1,112",**,**,"1,111","1,247"
2016,Rustic/Pelmo Park/Humberlea,"1,067",**,959,"1,092","1,331"
2016,Scarborough Village,"1,077",**,979,"1,077","1,296"
2016,South Parkdale/King West,977,804,986,"1,165",**
2016,St. Andrew-Windfields,"1,373",851,"1,146","1,380","1,732"
2016,Stonegate-Queensway,"1,042",872,983,"1,074",**
2016,Tam O'Shanter-Sullivan,"1,149",867,"1,041","1,183","1,391"
2016,The Beaches,"1,228",888,"1,152","1,447","1,961"
2016,Thorncliffe Park,"1,231",807,"1,042","1,324","1,694"
2016,University/Annex,"1,473","1,063","1,340","1,986","2,737"
2016,Uxbridge,"1,143",**,"1,049","1,207",**
2016,Victoria Village,"1,094",836,"1,009","1,191","1,408"
2016,Waterfront Communities -The Island,"1,981",**,"1,697","2,352",**
2016,West Hill,"1,068",778,967,"1,064","1,185"
2016,West Humber-Clairville,"1,180",858,981,"1,096",**
2016,Westminster-Branson,"1,324",883,"1,133","1,353","1,526"
2016,Weston,"1,044",762,968,"1,162",**
2016,Wexford-Maryvale,"1,069",807,982,"1,170","1,280"
2016,Whitchurch/Stouffville,"1,153",**,"1,112","1,179",**
2016,Willowdale East/Newtonbrook East,"1,592",**,"1,383","1,714","2,265"
2016,Willowdale West/Newtonbrook West,"1,325",**,"1,204","1,397","1,564"
2016,Willowridge-Martingrove-Richview,"1,449",**,"1,107","1,477","1,652"
2016,Woburn,"1,092",828,985,"1,118","1,239"
2016,Woodbine Corridor/Greenwood-Coxwell,**,**,**,**,**
