Year,Neighbourhood,Total,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +,Whole_Toronto_AV
2017,North St. James Town,1262,"1,041","1,269","1,390",**,1308
2017,Oakridge,**,**,**,**,**,1308
2017,Oakville (excl. Bronte),1411,980,"1,238","1,434","1,761",1308
2017,Oakwood-Vaughan,1072,802,"1,034","1,186",**,1308
2017,O'Connor-Parkview,1144,762,997,"1,226","1,449",1308
2017,Old East York,1135,713,"1,065","1,269",**,1308
2017,Orangeville/Mono,1131,**,"1,078","1,190","1,152",1308
2017,Parkwoods-Donalda,1444,937,"1,225","1,473","1,638",1308
2017,Playter Estates-Danforth,1228,930,"1,189","1,536",**,1308
2017,Port Credit,1193,915,"1,104","1,255","1,551",1308
2017,Princess-Rosethorn,**,**,**,**,**,1308
2017,Rexdale-Kipling,1041,**,887,"1,028","1,180",1308
2017,Richmond Hill/Vaughan/King,1290,939,"1,153","1,388","1,631",1308
2017,Riverdale,1801,**,**,"2,027",**,1308
2017,Rockcliffe-Smythe,1079,806,977,"1,174","1,201",1308
2017,Roncesvalles,923,**,**,**,**,1308
2017,Rosedale,1567,**,"1,491","1,807",**,1308
2017,Rouge,1141,**,**,"1,135","1,265",1308
2017,Rustic/Pelmo Park/Humberlea,1127,**,"1,022","1,177",**,1308
2017,Scarborough Village,1189,**,"1,089","1,193","1,320",1308
2017,South Parkdale/King West,1034,850,"1,044","1,248",**,1308
2017,St. Andrew-Windfields,1447,889,"1,206","1,428","1,852",1308
2017,Stonegate-Queensway,1107,896,"1,051","1,160",**,1308
2017,Tam O'Shanter-Sullivan,1174,885,"1,063","1,212","1,416",1308
2017,The Beaches,1209,880,"1,176","1,472",**,1308
2017,Thorncliffe Park,1314,915,"1,101","1,430","1,786",1308
2017,University/Annex,1484,"1,076","1,353","1,957",**,1308
2017,Uxbridge,1227,**,"1,086","1,355","1,302",1308
2017,Victoria Village,1178,874,"1,076","1,281","1,542",1308
2017,Waterfront Communities -The Island,2276,**,"1,883","2,805",**,1308
2017,West Hill,1213,**,"1,027","1,202","1,378",1308
2017,West Humber-Clairville,1169,815,"1,038","1,153",**,1308
2017,Westminster-Branson,1359,943,"1,177","1,392","1,563",1308
2017,Weston,1117,851,"1,036","1,220",**,1308
